Random waveform, random seed
Total number of intervals = 120 (33741, 63626, 6153, 70102, 76436, 48453, 47762, 84320, 51357, 33195, 10837, 44484, 10082, 57964, 80354, 64602, 34684, 50986, 85344, 39487, 31056, 82936, 105728, 18879, 67647, 76613, 82263, 22970, 56968, 48160, 62998, 66787, 6028, 65483, 28540, 105511, 50585, 65396, 42147, 5798, 90281, 61752, 14765, 14060, 30031, 76840, 22746, 72869, 62281, 79354, 61587, 75385, 37281, 11855, 36983, 50848, 87503, 93239, 16192, 58425, 58215, 96939, 36103, 62946, 32061, 60857, 86906, 36690, 68079, 95402, 32592, 63586, 78866, 57706, 51056, 107026, 93240, 25721, 91205, 58143, 45166, 32836, 68273, 87645, 72959, 99624, 5066, 77539, 6387, 19378, 52897, 72684, 100068, 14122, 30183, 102468, 36493, 108778, 38862, 21347, 68703, 84155, 10585, 12570, 83274, 102564, 78183, 14824, 66467, 95413, 9526, 58648, 35552, 38250, 32747, 43793, 52836, 108469, 89925, 65554)
Average QPS expected = 55657
Timestamp start: 1778958776906
Timestamp end: 1778960577219

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      322.5   117.1   127.6   184.4   199.4   305.6   359.7   388.7   409.1   434.1   466.5   515.8   633.3   898.8  2709.7  57648.9    57706
read      324.3   118.1   127.6   187.3   202.8   310.0   362.2   390.0   409.5   432.8   462.7   506.0   614.8   862.7  3222.2  51167.4    51056
read      439.3   406.7   127.6   201.5   221.0   330.3   391.0   434.6   476.4   547.8   697.7  1139.3  2311.4  3691.5  7947.9 106984.8   107026
read      358.0   192.9   127.6   190.2   206.7   315.1   374.3   411.1   440.9   481.7   545.2   663.0  1042.9  2044.5  4179.2  93173.9    93240
read      322.3    95.4   127.6   196.8   214.8   317.0   355.9   376.4   392.0   409.1   432.3   466.7   539.2   706.8  2643.9  25746.3    25721
read      346.8   177.1   127.6   188.6   204.4   309.9   368.0   402.3   430.5   466.3   520.1   622.6   930.2  1799.7  4581.9  91036.7    91205
read      317.1   115.4   127.6   182.9   197.3   300.7   354.7   383.2   402.7   427.5   458.3   503.8   614.1   795.5  2612.5  58088.7    58143
read      323.6   116.2   127.6   187.1   202.5   312.8   362.8   389.1   407.1   429.8   458.4   500.4   593.4   782.8  3335.5  45204.9    45166
read      326.6   121.4   127.6   192.9   210.1   318.3   362.2   385.6   401.6   422.5   447.9   486.4   577.8  1014.8  3947.5  32823.0    32836
read      321.6   128.4   127.6   184.8   199.3   300.5   355.2   385.4   406.6   433.1   467.2   523.1   655.5  1087.3  3800.1  68202.3    68273
read      342.6   159.7   127.6   188.8   204.4   309.0   366.5   400.3   427.4   461.8   510.6   610.8   868.7  1517.5  3764.5  87633.5    87645
read      326.5   138.7   127.6   184.9   199.3   301.6   357.6   388.9   411.9   440.4   479.2   545.8   701.7  1286.8  3456.5  72874.2    72959
read      414.4   337.2   127.6   196.9   215.5   326.4   388.7   431.4   469.6   532.9   655.9   968.8  1869.8  3352.9  7679.8  99781.5    99624
read      290.9   214.7   137.8   196.5   208.4   269.0   296.3   312.6   323.8   339.6   361.0   396.9   691.9  2897.2  7960.9   5078.0     5066
read      420.2   594.0   127.6   189.2   205.4   312.9   370.1   404.3   432.7   469.3   528.4   671.1  3584.1  7585.2 10470.7  77398.3    77539
read      293.2   116.6   137.8   199.9   212.9   280.6   310.1   326.9   339.9   355.6   374.6   409.0   518.0  1487.5  3858.9   6350.6     6387
read      389.0   329.5   127.6   196.6   217.4   349.9   406.1   437.2   459.6   485.5   519.6   588.3  1474.4  4882.6  8209.7  19366.2    19378
read      391.0   500.9   127.6   186.9   202.3   311.2   366.7   397.6   421.4   450.8   492.0   590.8  2870.2  7147.6  9413.4  52819.9    52897
read      322.5   133.1   127.6   184.6   199.1   299.5   354.9   385.6   407.3   434.6   470.2   531.6   674.1  1118.0  3325.9  72742.7    72684
read      406.7   318.8   127.6   196.0   214.5   325.6   387.5   429.6   467.0   527.2   636.7   908.6  1786.6  3208.3  7596.4 100092.7   100068
read      345.4   257.8   137.8   200.4   219.5   324.7   368.6   393.0   410.5   432.1   460.9   505.3   669.0  3160.0 10944.2  14135.1    14122
read      370.6   146.1   127.6   186.9   206.8   356.3   419.7   453.5   476.8   504.4   542.2   612.6   753.9  1161.3  3412.4  30221.8    30183
read      711.0  1023.3   127.6   222.8   241.6   334.1   400.6   462.2   541.2   978.4  1984.7  3308.7  4440.5  8008.8 11361.4 102377.4   102468
read      362.8   287.2   127.6   185.9   202.2   321.4   380.9   413.5   437.3   466.9   506.5   591.4  1293.8  3413.9  8025.1  36451.2    36493
read      514.2   588.6   127.6   213.8   236.4   349.1   411.9   461.6   509.9   600.0   820.5  1541.7  3363.2  6453.4  8129.5 108792.1   108778
read      321.4   106.3   118.1   188.4   204.9   313.6   359.4   383.5   400.1   421.1   446.8   486.1   568.8   726.6  2526.2  38861.2    38862
read      316.2    87.7   127.6   199.2   218.1   310.4   345.1   365.2   379.0   396.0   418.2   452.8   524.4   710.2  2462.4  21323.1    21347
read      319.0   120.1   127.6   182.9   197.8   299.6   353.8   383.2   403.5   429.7   462.7   514.7   644.8   907.5  3002.0  68663.7    68703
read      327.2   135.1   127.6   186.1   201.2   302.5   357.7   388.7   411.3   439.4   478.4   546.0   721.1  1138.4  3172.6  84147.9    84155
read      312.4   109.2   137.8   208.5   225.7   303.0   334.7   352.8   366.4   382.5   402.5   436.7   515.3   914.0  4011.5  10531.7    10585
read      313.7    83.8   127.6   208.0   225.8   306.7   338.5   356.8   369.7   386.0   404.5   436.9   509.3   826.5  2222.1  12497.7    12570
read      328.8   132.6   127.6   187.7   203.0   305.2   360.1   391.1   413.9   442.0   479.7   545.1   705.0  1100.3  3355.8  83275.1    83274
read      379.3   229.4   127.6   195.3   213.7   325.2   386.2   425.7   458.8   504.2   582.7   735.8  1310.6  2259.9  5410.6 102589.0   102564
read      323.5   125.8   118.1   183.9   199.1   300.6   355.5   386.0   407.7   435.0   471.0   536.3   691.3  1096.3  2455.1  78042.5    78183
read      314.5    88.4   137.8   205.2   223.5   307.9   340.3   358.9   371.6   388.7   408.7   442.9   513.0   787.8  2977.4  14805.3    14824
read      320.3   118.9   127.6   183.0   198.0   301.0   355.5   385.5   406.2   432.4   465.5   518.3   644.5   887.9  2647.3  66548.6    66467
read      356.2   181.7   127.6   191.9   209.2   317.8   375.8   411.1   438.9   475.6   532.3   640.3  1009.0  1851.0  3907.3  95379.8    95413
read      316.7    93.5   137.8   220.8   237.4   307.1   337.3   354.8   367.9   383.8   402.9   435.8   506.9   920.6  3652.0   9512.0     9526
