Random waveform, random seed
Total number of intervals = 120 (8794, 40063, 46840, 31371, 23169, 33123, 74093, 43746, 109504, 55683, 74168, 50019, 7093, 8709, 77678, 39158, 72064, 68204, 89201, 71080, 26386, 23025, 26336, 33536, 83654, 88285, 11070, 82737, 106734, 24635, 109672, 54427, 67566, 86347, 91773, 40716, 104275, 56083, 83595, 39137, 30782, 96113, 14665, 8153, 92867, 61763, 91275, 84624, 12890, 104685, 25802, 77930, 70019, 37571, 56571, 92477, 15059, 25506, 50922, 70175, 29286, 50147, 64756, 95414, 26577, 87793, 41309, 94067, 73425, 63130, 66354, 83690, 60643, 59558, 105037, 50454, 71944, 59429, 33193, 88062, 46874, 66794, 18645, 24428, 83450, 23341, 90106, 62399, 79400, 97184, 54232, 39714, 67459, 67304, 90627, 98099, 107108, 9823, 20059, 60275, 75431, 67923, 91363, 87246, 85280, 7187, 16998, 65430, 85379, 106654, 30909, 24090, 87501, 75423, 43571, 108470, 107055, 55599, 32411, 70582)
Average QPS expected = 60164
Timestamp start: 1778954570704
Timestamp end: 1778956371021

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      412.2   506.6   127.6   188.4   204.2   307.3   365.3   402.7   435.8   485.2   566.6   778.4  3086.2  6564.1  9052.8  90171.5    90106
read      311.5   123.9   127.6   179.7   193.4   291.5   343.6   372.2   393.5   419.0   453.2   506.0   633.6  1062.9  3472.3  62426.5    62399
read      322.8   139.8   127.6   182.8   197.1   294.6   349.2   381.3   404.5   435.4   479.4   550.3   733.3  1342.9  3149.0  79355.8    79400
read      375.2   264.8   127.6   190.2   206.7   309.8   367.8   406.1   441.7   496.1   590.0   778.5  1422.3  2719.1  7348.6  97497.5    97184
read      318.5   117.3   127.6   183.4   197.9   301.6   354.7   383.6   403.7   429.0   461.7   508.5   619.4   845.4  2853.6  54261.9    54232
read      318.8   104.4   127.6   188.7   204.1   309.9   356.2   380.3   397.5   418.1   443.2   483.2   564.6   734.6  2896.3  39600.0    39714
read      316.5   124.6   127.6   182.2   196.3   294.4   348.1   378.6   400.6   427.9   463.7   518.8   645.4  1113.9  2991.1  67461.1    67459
read      318.7   125.9   127.6   182.5   196.7   295.9   350.5   381.6   403.7   431.8   468.7   527.7   662.8  1001.8  3211.5  67347.8    67304
read      340.8   169.8   127.6   186.7   201.9   302.0   358.8   393.7   422.3   461.1   518.1   624.8   929.5  1660.0  3976.7  90604.3    90627
read      361.7   215.5   127.6   189.7   205.7   307.6   365.3   402.5   435.7   485.8   566.7   716.3  1216.8  2241.2  4636.8  97943.9    98099
read      421.1   371.9   127.6   198.5   217.3   320.8   377.3   419.1   459.5   530.2   675.2  1058.4  2108.7  3445.6  7825.5 107237.3   107108
read      314.6   119.7   127.6   199.6   215.7   301.0   338.0   358.8   373.1   392.1   416.2   458.3   593.9  1657.7  3432.7   9863.8     9823
read      360.6   230.4   137.8   193.3   212.5   336.0   392.6   422.7   444.2   469.4   501.3   550.4   803.6  3207.8  7909.8  20077.1    20059
read      471.5   784.6   127.6   186.8   202.4   310.0   367.6   401.9   430.0   467.3   528.3   971.3  4640.4  8287.3 10890.3  60179.0    60275
