Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778960935070
Timestamp end: 1778962735448

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      327.0   142.9   127.6   180.3   195.2   301.8   358.2   389.9   414.0   444.5   484.2   553.8   729.8  1389.2  3562.7  69938.4    70041
read      374.1   256.8   127.6   187.5   204.1   315.2   375.7   415.4   448.6   495.2   576.0   743.5  1366.1  2945.9  7257.1  90003.2    90162
read      322.6   119.0   127.6   182.5   197.7   307.8   361.1   389.8   410.1   435.2   466.6   513.5   626.4   816.1  3547.9  51951.6    52082
read      322.5   103.1   137.8   196.8   215.2   316.6   355.4   376.0   391.6   408.5   431.7   466.1   540.8   722.4  3979.9  24258.8    24258
read      324.1   138.8   127.6   180.7   195.5   298.8   355.3   387.2   410.4   440.0   479.3   546.4   702.1  1341.6  3490.0  72122.4    72013
read      324.9   117.1   127.6   182.1   197.3   306.5   362.1   392.4   414.6   441.3   475.4   532.9   657.0   900.3  2022.6  58072.0    58012
read      321.5   107.2   127.6   183.0   198.1   311.2   361.4   387.6   405.2   429.1   458.3   501.9   610.8   780.0  1825.5  45460.4    45398
read      321.0   118.9   127.6   181.5   196.6   307.6   359.8   387.1   405.9   431.0   462.0   507.5   620.6   839.6  3400.3  50097.8    50177
read      322.2    96.1   127.6   188.2   205.0   316.0   359.6   382.7   399.0   420.1   446.7   487.2   576.3   712.9  1592.1  34485.6    34504
read      319.9   132.5   127.6   179.1   193.4   298.8   353.7   383.5   404.4   432.4   468.8   533.5   680.6  1029.4  3710.8  66121.4    66010
read      326.5   142.8   127.6   180.3   195.4   300.6   356.7   388.3   411.8   441.9   483.6   560.5   741.2  1287.5  3054.9  73846.6    73937
read      316.8   125.8   127.6   180.1   194.6   301.3   352.9   380.4   399.5   424.0   455.2   502.8   622.3  1195.2  3835.0  54830.2    55020
read      325.1   121.1   127.6   182.6   198.0   308.7   363.3   392.5   413.6   438.7   470.7   524.7   641.6   902.7  2835.5  53093.0    53235
read      405.3   333.6   127.6   190.4   208.5   320.0   381.2   423.3   461.0   521.6   637.7   936.8  1852.5  3303.3  7596.2  97650.8    97743
read      277.0    84.2   148.8   195.2   207.3   265.6   291.5   306.9   317.8   332.9   352.2   387.3   475.9  1043.5  3055.0   5479.6     5419
read      333.1   136.8   127.6   193.2   211.8   321.0   365.3   389.3   405.7   427.4   454.4   496.9   628.0  1764.8  3722.4  14681.6    14764
read      297.9   154.4   137.8   195.6   209.8   283.6   315.9   334.5   346.8   364.8   387.8   425.5   533.0  1718.3  7763.0   7486.4     7451
read      374.4   269.8   127.6   185.5   202.4   326.5   386.3   422.0   450.1   486.0   543.9   670.4  1416.9  3397.6  7536.2  48004.0    48208
read      334.4   171.1   137.8   198.9   219.1   319.6   361.6   385.1   401.6   423.3   450.0   492.1   623.2  1774.2  7597.9  16160.0    16149
read      606.8   983.8   127.6   196.4   217.7   332.6   401.4   456.1   507.9   606.3   953.5  2437.0  5546.8  8851.6 13023.1  78940.4    78989
read      343.0   131.9   127.6   200.8   221.3   330.5   374.7   399.3   418.5   440.6   468.9   513.1   642.2  1271.3  4942.8  18862.8    18886
read      647.5  1044.9   127.6   196.4   217.8   328.3   398.4   454.8   509.4   625.6  1368.5  2908.1  5665.0  8676.7 10780.3  75853.4    75954
read      325.2   110.2   127.6   185.6   201.3   313.5   364.4   391.6   410.8   433.9   463.4   507.3   613.7   806.5  2032.6  44338.8    44409
read      334.4   144.3   127.6   197.9   218.0   320.0   362.8   386.6   402.8   425.8   453.8   496.2   631.8  1978.8  4660.9  16508.0    16431
read      554.0   845.5   127.6   197.0   218.5   338.6   408.8   461.5   508.6   584.3   739.0  1725.7  4767.9  8096.5 12077.1  85807.4    85707
read      321.2   136.8   127.6   181.1   196.1   302.5   355.7   384.8   404.9   431.8   465.1   518.3   641.7  1362.1  4392.8  58195.6    58253
read      458.8   453.9   127.6   201.8   222.3   338.4   400.6   447.2   491.1   564.1   723.8  1250.9  2536.2  4236.5  8044.5 103997.4   103867
read      350.1   166.4   127.6   196.8   217.3   331.6   380.0   407.0   428.7   453.5   484.7   536.1   693.6  2320.3  4625.6  21511.4    21604
read      643.0   969.5   127.6   211.8   235.4   357.1   431.1   491.9   551.6   657.6  1062.8  2821.2  5190.6  8318.9 11606.0  90229.6    90401
read      344.2   164.4   127.6   185.0   201.0   309.1   367.5   401.6   429.9   465.7   518.9   622.7   920.6  1601.2  3365.7  84307.2    84467
read      422.5   361.6   127.6   196.1   215.6   328.6   390.3   433.4   472.7   539.8   669.4  1019.3  2010.7  3472.6  7814.2  99771.0    99700
