Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778964666007
Timestamp end: 1778966316389

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      332.4   146.0   127.6   186.3   201.6   301.1   355.8   388.8   414.4   448.0   495.3   584.5   805.0  1440.1  2980.6  90089.8    90162
read      319.9   115.1   127.6   187.2   202.0   306.1   358.0   385.0   403.1   426.4   455.5   498.0   586.9   749.4  3213.6  52330.6    52082
read      329.3   212.5   137.8   206.5   225.0   323.5   360.6   380.2   394.4   410.7   432.2   464.8   535.3   786.9  2983.2  24173.2    24258
read      314.4   122.6   127.6   181.8   196.2   293.1   345.7   375.0   396.5   422.7   456.8   508.4   640.5  1171.0  3360.4  72098.8    72013
read      316.7   119.5   127.6   183.9   198.3   300.5   353.0   381.1   400.5   424.8   455.5   501.5   609.4   806.5  2744.6  58063.6    58012
read      322.3   108.5   137.8   188.7   204.1   311.5   360.7   386.3   403.5   425.9   453.4   494.1   584.4   844.0  2843.4  45431.0    45398
read      319.7   113.1   127.6   186.8   201.9   306.7   357.7   384.4   402.4   425.1   453.1   494.5   586.3   815.8  3227.5  50232.2    50177
read      325.1   101.0   137.8   194.4   211.9   319.3   363.0   385.6   400.8   420.5   444.2   478.8   546.6   707.2  2871.8  34366.4    34504
read      314.3   110.0   127.6   182.4   196.8   296.7   348.6   377.3   398.0   422.9   454.4   502.5   619.5   834.4  2308.8  65891.4    66010
read      318.0   125.6   127.6   183.1   197.3   295.8   348.9   378.6   400.2   427.5   463.0   520.9   662.9  1210.5  3241.7  74006.2    73937
read      318.0   106.6   127.6   186.0   200.8   303.8   355.8   383.1   401.6   425.0   454.4   498.1   592.0   776.3  2337.0  55079.4    55020
read      319.7   124.0   127.6   186.1   201.2   305.2   356.5   383.5   402.0   425.6   454.6   497.1   592.3   985.6  3676.4  53351.6    53235
read      356.1   200.4   127.6   189.3   205.6   309.1   366.1   401.8   432.8   476.7   546.1   679.7  1110.8  2025.7  4359.4  97497.0    97743
read      294.6   120.3   148.8   210.4   223.4   282.8   308.0   321.2   333.4   345.6   366.1   398.0   492.4  1746.5  7062.1   5397.6     5419
read      338.9   158.5   137.8   203.1   222.5   328.4   370.8   393.5   409.2   429.2   454.2   491.9   605.1  1693.9  5942.0  14732.4    14764
read      303.7   115.9   137.8   204.4   219.3   292.5   323.3   340.8   353.8   369.3   390.9   424.6   517.0  1276.2  5239.3   7462.6     7451
read      392.4   381.4   127.6   189.9   207.3   330.6   391.5   427.3   456.1   494.0   550.6   670.0  1893.7  5670.9  8073.2  48095.6    48208
read      342.7   142.8   137.8   204.1   223.8   331.6   374.6   397.7   414.6   433.6   459.3   498.3   624.8  1539.6  4866.3  16148.8    16149
read      649.6  1009.2   127.6   200.8   220.1   330.2   401.2   458.2   518.7   663.9  1471.5  2829.7  5236.2  8543.2 11198.6  78887.6    78989
read      347.5   124.7   137.8   203.6   223.2   335.5   381.5   405.7   424.9   446.4   471.7   513.8   638.8  1809.8  2627.8  18980.6    18886
