Random waveform, supplied seed
Total number of intervals = 330 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498)
Average QPS expected = 57280
Timestamp start: 1778962964068
Timestamp end: 1778964614449

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      316.1   130.6   127.6   180.6   194.6   293.0   346.6   376.9   399.1   427.0   463.0   522.4   660.1  1241.1  3360.5  70146.4    70041
read      336.7   170.4   127.6   184.9   200.1   299.8   355.1   388.9   415.9   453.1   507.4   609.7   896.1  1752.0  4585.8  90213.2    90162
read      313.3   104.9   127.6   181.6   196.2   299.6   350.4   377.6   396.9   420.1   449.6   494.5   593.2   741.6  1428.1  52220.0    52082
read      350.1   219.1   127.6   193.8   212.4   321.6   370.5   399.3   422.4   450.4   487.6   550.3   855.4  2852.0  8438.9  24158.8    24258
read      622.1   982.8   127.6   190.9   207.3   309.7   376.8   427.7   479.3   598.4  1418.5  2842.7  5057.6  8031.5  9873.8  71945.8    72013
read      318.2   117.1   127.6   182.7   197.5   300.9   353.9   382.9   403.1   429.7   463.1   512.6   626.3   790.4  2664.7  58072.4    58012
read      318.0   119.0   127.6   184.4   199.3   306.5   355.4   381.5   399.8   422.9   451.9   495.8   590.7   748.4  2311.9  45256.4    45398
read      313.3   112.0   127.6   182.0   196.3   300.4   350.2   376.4   395.1   417.3   446.0   490.8   590.7   788.0  3323.7  50213.0    50177
read      325.9    96.8   127.6   191.2   208.1   318.0   363.3   388.0   404.5   426.9   454.0   493.9   581.6   729.1  1645.7  34436.8    34504
read      315.8   125.6   127.6   181.3   195.4   294.2   347.6   378.2   399.9   426.9   461.6   515.9   642.3  1061.9  3421.5  66174.6    66010
read      319.4   132.5   127.6   182.2   196.4   294.8   348.3   379.7   402.5   431.7   469.3   535.0   681.9  1255.1  3180.8  74003.0    73937
read      313.6   111.4   127.6   181.0   195.2   297.5   349.5   377.9   398.1   422.5   453.7   501.0   610.5   767.0  2614.0  55061.4    55020
read      315.4   110.5   127.6   181.7   196.1   300.3   352.1   380.2   399.9   424.3   455.4   501.4   608.3   787.0  2252.0  53254.6    53235
read      357.7   199.2   127.6   189.1   205.2   306.9   363.6   400.6   433.5   482.4   565.8   710.3  1132.0  1842.7  3994.4  97634.8    97743
read      286.5    91.9   148.8   202.3   213.7   273.6   300.5   316.7   329.5   344.6   365.6   399.0   495.2  1260.4  3101.8   5443.8     5419
read      330.0   154.5   137.8   193.1   211.2   315.6   359.1   382.7   399.5   420.3   445.8   487.2   630.2  2133.6  5380.4  14775.0    14764
read      292.3   103.3   148.8   197.8   211.2   281.2   311.8   329.1   341.6   357.4   376.1   408.5   504.0  1202.3  3798.9   7425.2     7451
read      360.3   258.8   127.6   185.3   201.5   320.3   378.8   413.4   440.0   473.6   523.2   617.5  1071.5  3588.0  7679.5  48119.0    48208
read      322.7   125.3   127.6   198.0   216.7   311.6   350.1   371.9   388.7   407.0   432.8   471.0   573.0  1419.5  5102.6  16139.4    16149
read      598.0   943.4   127.6   193.2   210.7   321.2   392.1   442.5   490.2   578.1  1122.8  2630.0  4928.7  8128.3 11934.1  79070.0    78989
read      333.1   118.6   137.8   198.2   218.3   321.4   363.4   387.3   403.7   425.8   453.1   494.9   601.9  1602.1  3561.8  18945.8    18886
read      650.7  1073.4   127.6   193.6   211.2   317.9   387.7   437.7   489.6   595.3  1459.6  3015.4  5445.1  8867.9 14336.2  75918.8    75954
read      319.3   103.0   127.6   185.0   200.2   307.9   357.6   384.1   402.6   426.1   455.2   497.5   589.2   726.0  1733.6  44390.4    44409
read      331.3   119.3   137.8   200.8   220.4   319.7   361.4   384.3   400.2   420.7   446.4   487.9   592.8  1463.0  3848.9  16429.8    16431
read      554.8   862.6   137.8   194.4   212.4   322.7   386.9   431.3   472.3   543.6   742.4  2184.3  4742.5  7951.8 10311.6  85714.2    85707
read      315.0   115.9   127.6   181.7   196.1   297.2   349.9   378.6   399.1   424.4   456.3   504.2   619.1   871.1  3339.3  58200.2    58253
read      380.1   246.4   127.6   193.2   210.8   313.6   369.9   408.7   445.7   503.9   614.6   822.4  1398.3  2301.6  4575.2 103912.0   103867
read      346.4   163.7   137.8   200.3   220.0   327.6   373.7   400.3   420.6   444.0   473.7   527.3   693.9  2496.5  4030.3  21645.0    21604
read      610.0   929.5   127.6   200.8   219.3   335.8   401.2   450.4   498.6   591.0  1172.9  2690.6  4682.5  8079.6 10896.5  90437.2    90401
read      325.1   134.0   127.6   183.6   198.4   296.5   351.1   383.5   407.5   439.9   485.0   565.0   741.2  1269.6  2319.3  84341.6    84467
read      370.3   228.7   127.6   190.8   207.5   309.2   366.0   403.8   439.3   496.3   596.2   780.7  1301.9  2168.3  3779.2  99694.2    99700
read      320.9    98.4   127.6   191.5   207.9   313.7   356.9   379.7   396.0   415.7   439.9   477.7   555.7   742.1  2567.0  31976.4    32052
read      335.0   129.1   137.8   197.2   216.9   322.0   366.0   390.1   406.8   428.9   456.6   498.8   622.2  1733.7  3968.3  18168.0    18173
read      502.4   817.6   127.6   185.8   201.3   300.5   361.9   401.0   434.7   481.9   582.6  1770.0  4509.9  7984.3 11416.1  67872.6    67789
read      317.6   111.8   127.6   182.6   197.1   302.2   354.5   382.6   402.1   427.4   458.8   504.5   612.0   934.9  2201.8  51794.2    51929
read      327.8   146.7   127.6   183.5   198.3   297.9   352.7   385.2   409.7   442.2   489.1   570.9   760.7  1510.8  3769.4  84032.6    83850
read      329.7   135.5   137.8   195.5   214.2   315.2   357.6   381.8   399.4   421.3   449.1   493.7   619.4  1927.1  4064.4  18618.4    18614
read      379.6   260.7   127.6   187.5   206.3   345.4   413.3   450.1   474.5   503.2   542.1   614.6  1072.7  3843.7  7554.2  29164.6    29315
read      682.2  1029.4   127.6   216.4   236.0   366.6   431.8   477.8   526.0   631.8  1482.2  3140.1  5240.9  8183.7 13123.9 108349.0   108090
read      328.5   183.5   137.8   193.7   210.7   310.5   352.0   374.9   392.2   411.7   437.4   482.3   649.3  2434.5  7492.4  27100.6    27024
read      317.1   108.8   127.6   183.9   198.6   303.3   354.7   382.2   401.2   425.2   454.7   498.5   593.2   770.3  2181.1  49832.0    49907
read      305.8    94.5   137.8   203.4   218.8   294.0   326.4   345.4   360.2   375.9   399.4   435.1   539.6  1201.7  3058.9   9238.6     9150
read      378.8   221.4   127.6   186.9   205.6   348.5   420.9   459.6   486.3   516.5   556.5   624.3   891.0  3116.9  6603.1  34155.8    34328
read      378.0   263.9   127.6   186.2   203.2   329.1   394.8   434.7   465.4   505.7   571.2   677.4  1295.8  3476.8  7147.1  51942.4    51881
read      330.8   135.1   137.8   199.6   218.4   317.5   359.6   382.5   398.7   419.3   445.3   488.2   631.8  1610.2  5425.1  14557.2    14569
read      647.1  1084.5   127.6   196.9   214.8   322.1   390.2   439.4   492.1   600.3  1364.2  2884.7  5971.1  9326.8 11820.4  81410.8    81517
read      318.9   122.1   127.6   181.8   196.3   294.3   348.0   379.0   402.0   432.1   471.1   539.4   683.3  1054.3  2282.3  78738.2    78694
